No.,施設名,都道府県,市区町村,月額費用,HP_URL,フォームURL,ステータス
38,アリア恵比寿南,東京都,渋谷区,36.65〜251.94万円,https://kaigo.benesse-style-care.co.jp/area_tokyo/shibuya/home_a-ebisuminami,https://www.benesse-style-care.co.jp/inquiry_all/,手動対応
41,アリア松濤,東京都,渋谷区,34.11〜267.57万円,https://kaigo.benesse-style-care.co.jp/area_tokyo/shibuya/home_a-shoto,https://www.benesse-style-care.co.jp/inquiry_all/,手動対応
42,アリア代々木上原,東京都,渋谷区,36.65〜194.17万円,https://kaigo.benesse-style-care.co.jp/area_tokyo/shibuya/home_a-yoyogiuehara,https://www.benesse-style-care.co.jp/inquiry_all/,手動対応
44,チャームプレミア グラン 松濤,東京都,渋谷区,35〜100万円,https://www.charmcc.jp/home/charmpremiergrand_shoto/,https://www.charmcc.jp/contact/inquiry/,未処理
3,東急ウェリナケア自由が丘,東京都,目黒区,36.02〜79.22万円,https://www.tokyu-welinacare.jp/jiyugaoka/,https://www.tokyu-welinacare.jp/jiyugaoka/contact/,未処理
51,グランヴィ小日向,東京都,文京区,36.01〜54.01万円,https://sonodakai.jp/meisho/facility/gvkohinata/,https://sonodakai.jp/meisho/contact/,未処理
47,アリア文京本郷,東京都,文京区,32.35〜261.35万円,https://kaigo.benesse-style-care.co.jp/area_tokyo/bunkyo/home_a-hongou,https://www.benesse-style-care.co.jp/inquiry_all/,手動対応
22,メディカル・リハビリホームくらら二子玉川,東京都,世田谷区,42.6〜47.44万円,https://kaigo.benesse-style-care.co.jp/area_tokyo/setagaya/home_k-futakotamagawa,https://www.benesse-style-care.co.jp/inquiry_all/,手動対応
35,くらら田園調布,東京都,世田谷区,42.7〜47.5万円,https://kaigo.benesse-style-care.co.jp/area_tokyo/ota/home_k-denenchofu,https://www.benesse-style-care.co.jp/inquiry_all/,手動対応
2,東急ウェリナケア尾山台,東京都,世田谷区,31.95〜60.95万円,https://www.tokyu-welinacare.jp/oyamadai/,https://www.tokyu-welinacare.jp/oyamadai/contact/,未処理
83,グランダ四天王寺,大阪府,大阪市天王寺区,28.3〜113.4万円,https://kaigo.benesse-style-care.co.jp/area_osaka/osaka/home_gd-shitennouji,https://www.benesse-style-care.co.jp/inquiry_all/,手動対応
79,グランダ帝塚山,大阪府,大阪市阿倍野区,21.2〜137万円,,,URL要確認(独立系の可能性)
64,ロングライフ阿倍野,大阪府,大阪市阿倍野区,26〜172.8万円,,,URL要確認
80,リハビリホームグランダ高槻,大阪府,高槻市,20.5〜155.3万円,https://kaigo.benesse-style-care.co.jp/area_osaka/takatsuki/home_gd-takatsuki,https://www.benesse-style-care.co.jp/inquiry_all/,手動対応
90,ベルパージュ大阪上本町,大阪府,大阪市天王寺区,25.3〜74.7万円,,,URL要確認
87,グッドタイムリビング大阪ベイ,大阪府,大阪市港区,29〜81.8万円,https://www.gtl-daiwa.co.jp/guesthouse/gtl/osaka-bay/,https://www.gtl-daiwa.co.jp/dc/request/index.php,未処理
85,グランダ緑地公園,大阪府,豊中市,21.6〜124.5万円,https://kaigo.benesse-style-care.co.jp/area_osaka/toyonaka/home_gd-ryokuchikoen,https://www.benesse-style-care.co.jp/inquiry_all/,手動対応
57,メディカル・リハビリホームくらら箕面小野原,大阪府,箕面市,40.27〜45.11万円,https://kaigo.benesse-style-care.co.jp/area_osaka/minoo/home_k-minooonohara,https://www.benesse-style-care.co.jp/inquiry_all/,手動対応
89,グランダ豊中,大阪府,豊中市,22.8〜90.1万円,https://kaigo.benesse-style-care.co.jp/area_osaka/toyonaka/home_gd-toyonaka,https://www.benesse-style-care.co.jp/inquiry_all/,手動対応
77,グッドタイムリビングなかもず,大阪府,堺市北区,27〜76.8万円,https://www.gtl-daiwa.co.jp/guesthouse/gtl/nakamozu/,https://www.gtl-daiwa.co.jp/dc/request/index.php,未処理
1,東急ウェリナケア旗の台,東京都,大田区,33.23〜67.23万円,https://www.tokyu-welinacare.jp/hatanodai/,https://www.tokyu-welinacare.jp/hatanodai/contact/,未処理
4,リアンレーヴ八雲,東京都,目黒区,20.78〜62.75万円,https://www.kinoshita-kaigo.co.jp/facility/care_home/lien-reve_yakumo.html,https://www.kinoshita-kaigo.co.jp/contact,未処理
5,ライフコミューンつつじヶ丘,東京都,三鷹市,21.33〜48.43万円,https://www.kinoshita-kaigo.co.jp/facility/care_home/life-commune_tsutsujigaoka.html,https://www.kinoshita-kaigo.co.jp/contact,未処理
6,ライフコミューン杉並松庵,東京都,杉並区,20.5〜48.87万円,https://www.kinoshita-kaigo.co.jp/facility/care_home/life-commune_suginamishoan.html,https://www.kinoshita-kaigo.co.jp/contact,未処理
7,リアンレーヴ世田谷,東京都,世田谷区,29.5〜33.5万円,https://www.kinoshita-kaigo.co.jp/facility/service_housing/lien_reve_setagaya.html,https://www.kinoshita-kaigo.co.jp/contact,未処理
8,ニチイホーム杉並堀ノ内,東京都,杉並区,23.18〜40.68万円,https://www.nichii-carepalace.co.jp/shisetsu/area/tokyo/suginamihorinouchi.html,https://pages.nichiigakkan.co.jp/palace_inquiryform_new.html,未処理
9,ニチイホーム多摩川緑地,東京都,大田区,25.88〜63.62万円,https://www.nichii-carepalace.co.jp/shisetsu/area/tokyo/tamagawaryokuchi.html,https://pages.nichiigakkan.co.jp/palace_inquiryform_new.html,未処理
10,ニチイホーム鷺ノ宮,東京都,中野区,24.88〜68.72万円,https://www.nichii-carepalace.co.jp/shisetsu/area/tokyo/saginomiya.html,https://pages.nichiigakkan.co.jp/palace_inquiryform_new.html,未処理
11,ニチイホーム板橋徳丸,東京都,板橋区,22.18〜35.78万円,https://www.nichii-carepalace.co.jp/shisetsu/area/tokyo/itabashitokumaru.html,https://pages.nichiigakkan.co.jp/palace_inquiryform_new.html,未処理
12,ライフコミューン一橋学園,東京都,小平市,21.1〜53.48万円,https://www.kinoshita-kaigo.co.jp/facility/care_home/life-commune_hitotsubashigakuen.html,https://www.kinoshita-kaigo.co.jp/contact,未処理
13,ツクイ・サンシャイン杉並,東京都,杉並区,20.68〜101.37万円,https://www.tsukui.net/sunshine/suginami/,https://www.tsukui.net/inquiry/mail/,未処理
14,ツクイ・サンシャイン西馬込,東京都,大田区,28.43〜93.26万円,https://www.tsukui.net/sunshine/nishimagome/,https://www.tsukui.net/inquiry/mail/,未処理
15,リアンレーヴ立川,東京都,立川市,25.94万円,https://www.kinoshita-kaigo.co.jp/facility/service_housing/lien_reve_tachikawa.html,https://www.kinoshita-kaigo.co.jp/contact,未処理
16,ライフコミューン上板橋,東京都,板橋区,21.35〜32.1万円,https://www.kinoshita-kaigo.co.jp/facility/care_home/life-commune_kamiitabashi.html,https://www.kinoshita-kaigo.co.jp/contact,未処理
17,ライフコミューン日野,東京都,日野市,21.23〜53.03万円,https://www.kinoshita-kaigo.co.jp/facility/care_home/life-commune_hino.html,https://www.kinoshita-kaigo.co.jp/contact,未処理
18,コンシェール南千住,東京都,荒川区,25.37〜66.11万円,https://riei-kaigo.jp/concier/concier-minamisenjyu/,https://riei-kaigo.jp/contact/,未処理
19,ツクイ・サンシャイン三鷹深大寺,東京都,三鷹市,23.9〜36.4万円,https://www.tsukui.net/sunshine/mitakajindaiji/,https://www.tsukui.net/inquiry/mail/,未処理
20,グランヴィ歳王,東京都,墨田区,28.29〜41.59万円,http://www.fukushi-e.com/gvsaiou.html,http://www.fukushi-e.com/contact/form.php,未処理
21,ニチイホーム用賀,東京都,世田谷区,24.68〜106.02万円,https://www.nichii-carepalace.co.jp/shisetsu/area/tokyo/yoga.html,https://pages.nichiigakkan.co.jp/palace_inquiryform_new.html,未処理
24,ニチイホーム墨田,東京都,墨田区,22.18〜59.82万円,https://www.nichii-carepalace.co.jp/shisetsu/area/tokyo/sumida.html,https://pages.nichiigakkan.co.jp/palace_inquiryform_new.html,未処理
25,アミカの郷成増,東京都,板橋区,23.71〜25.81万円,https://kaigo.alsok.co.jp/facility/search/detail/283,https://kaigo.alsok.co.jp/facility/search/detail/283,手動対応
26,イリーゼ用賀,東京都,世田谷区,21.7〜31.5万円,https://www.irs.jp/area/tokyo/setagayaku/youga_home.html,https://www.irs.jp/area/tokyo/setagayaku/youga_home.html,未処理
27,リアンレーヴ小平,東京都,小平市,20.35〜29.35万円,https://www.kinoshita-kaigo.co.jp/facility/care_home/lien-reve_kodaira.html,https://www.kinoshita-kaigo.co.jp/contact,未処理
28,ツクイ・サンシャイン成城,東京都,世田谷区,24.09〜42.09万円,https://www.tsukui.net/sunshine/seijo/,https://www.tsukui.net/inquiry/mail/,未処理
29,チャームスイート世田谷上馬,東京都,世田谷区,25.21〜93.91万円,https://www.charmcc.jp/home/charmsuite_kamiuma/,https://www.charmcc.jp/contact/inquiry/,未処理
30,ニチイホーム千歳船橋,東京都,世田谷区,24.68〜40.68万円,https://www.nichii-carepalace.co.jp/shisetsu/area/tokyo/chitosefunabashi.html,https://pages.nichiigakkan.co.jp/palace_inquiryform_new.html,未処理
31,チャームスイート豊洲,東京都,江東区,24.88〜88.79万円,https://www.charmcc.jp/home/charmsuite_toyosu/,https://www.charmcc.jp/contact/inquiry/,未処理
32,ニチイホーム住吉,東京都,江東区,24.18〜80.62万円,https://www.nichii-carepalace.co.jp/shisetsu/area/tokyo/sumiyoshi.html,https://pages.nichiigakkan.co.jp/palace_inquiryform_new.html,未処理
37,ニチイホーム渋谷本町,東京都,渋谷区,24.68〜45.08万円,https://www.nichii-carepalace.co.jp/shisetsu/area/tokyo/shibuyahonmachi.html,https://pages.nichiigakkan.co.jp/palace_inquiryform_new.html,未処理
39,もみの樹・渋谷本町,東京都,渋谷区,28.38〜63.29万円,https://www.mominoki-life.com/shibuya/,https://www.mominoki-life.com/contact/,未処理
43,ホスピタルメント代々木上原,東京都,渋谷区,24.93〜72.93万円,https://www.hospitalment.co.jp/yoyogiuehara/,https://www.hospitalment.co.jp/contact/,手動対応
45,チャームプレミア代々木初台,東京都,渋谷区,27.21〜62.21万円,https://www.charmcc.jp/home/charmpremieryoyogihatsudai/,https://www.charmcc.jp/contact/inquiry/,未処理
46,アライブ代々木大山町,東京都,渋谷区,26.49〜96.36万円,https://www.alive-carehome.co.jp/home/yoyogi-oyamacho,https://www.alive-carehome.co.jp/guidance,手動対応
48,エイジフリー・ライフ文京湯島,東京都,文京区,31.34〜91.64万円,https://sumai.panasonic.jp/agefree/facility_care/agefree-life/yushima/,https://sumai.panasonic.jp/agefree/contact/,手動対応
52,SOMPOケアラヴィーレ本郷,東京都,文京区,32.37〜53.37万円,https://www.sompocare.com/service/home/kaigo/H000465,https://www.sompocare.com/inquiry/,未処理
53,ホスピタルメント本郷,東京都,文京区,27.32万円,https://www.hospitalment.co.jp/hongou/,https://www.hospitalment.co.jp/contact/,手動対応
54,アズハイム文京白山,東京都,文京区,22.5〜86.8万円,https://as-heim.com/facility/hakusan/,https://as-heim.com/contact/,手動対応
55,チャームスイート本駒込,東京都,文京区,24.8〜95.1万円,https://www.charmcc.jp/home/charmsuite_honkomagome/,https://www.charmcc.jp/contact/inquiry/,未処理
56,ケア・キューブいくの,大阪府,大阪市生野区,24.5〜44.5万円,https://www.mediplan.jp/carecube_ikuno/,https://www.mediplan.jp/contact/,未処理
58,スーパー・コート茨木彩都,大阪府,茨木市,20.97万円,https://www.supercourt.jp/facility-list/osaka/ibaraki/,https://www.supercourt.jp/inquirys/,未処理
59,ソレイユねやがわ,大阪府,寝屋川市,24.57万円,https://www.mediplan.jp/care/soleil/neyagawa/,https://www.mediplan.jp/contact/,未処理
61,スーパー・コート茨木さくら通り,大阪府,茨木市,20.01万円,https://www.supercourt.jp/facility-list/osaka/sakuradori/,https://www.supercourt.jp/inquirys/,未処理
62,コンシェール阿倍野,大阪府,大阪市阿倍野区,21.91〜49.13万円,https://riei-kaigo.jp/concier/concier-abeno/,https://riei-kaigo.jp/contact/,未処理
63,スーパー・コート高槻,大阪府,高槻市,24.01万円,https://www.supercourt.jp/facility-list/osaka/takatsuki/,https://www.supercourt.jp/inquirys/,未処理
65,ラビアンローズ緑地公園,大阪府,豊中市,25.01〜45.77万円,https://www.j-longlife.co.jp/ryokuchi/,https://www.j-longlife.co.jp/contact/request,未処理
66,ベルパージュ千里古江台,大阪府,吹田市,24.1〜78.2万円,https://joylife.alsok.co.jp/facility/bellepage/bp_senrifuruedai/,https://joylife.alsok.co.jp/inquiry/question/,未処理
67,ユトリーム大阪北,大阪府,大阪市淀川区,22.4〜33.6万円,https://joylife.alsok.co.jp/facility/yutoream/yt_osakakita/,https://joylife.alsok.co.jp/inquiry/question/,未処理
69,アクティブライフ豊中,大阪府,豊中市,23.31〜47.2万円,https://www.activelife.co.jp/toyonaka/,https://www.activelife.co.jp/toyonaka/,未処理
